Frame,Visibility,X,Y
0,1,1203,407
1,1,1213,388
2,1,1216,376
3,1,1219,368
4,1,1218,362
5,1,1219,359
6,1,1219,357
7,1,1220,356
8,1,1220,355
9,1,1222,354
10,1,1221,354
11,1,1219,355
12,1,1219,358
13,1,1218,361
14,1,1217,365
15,1,1219,357
16,1,1219,357
17,1,1219,357
18,1,1219,357
19,1,1219,357
20,1,1219,357
21,1,1219,357
22,1,1219,357
23,1,1219,357
24,1,1219,357
25,1,1219,357
26,1,1219,357
27,1,1195,376
28,1,1123,376
29,1,1050,399
30,1,980,465
31,1,936,475
32,1,936,468
33,1,915,441
34,1,897,423
35,1,891,409
36,1,885,400
37,1,895,390
38,1,910,382
39,1,920,375
40,1,934,365
41,1,960,365
42,1,976,361
43,1,990,383
44,1,1014,403
45,1,1044,415
46,1,1080,401
47,1,1067,401
48,1,1020,401
49,1,1007,391
50,1,988,384
51,1,987,390
52,1,980,400
53,1,980,405
54,1,985,405
55,1,995,435
56,1,1005,450
57,1,1010,450
58,1,1017,451
59,1,1028,457
60,1,1045,463
61,1,1066,467
62,1,1088,443
63,1,1104,437
64,1,1126,416
65,1,1153,402
66,1,1202,378
67,1,1219,357
68,1,1219,357
69,1,1219,357
70,1,1219,357
71,1,1219,357
72,1,1219,357
73,1,1219,357
74,1,1219,357
75,1,1219,357
76,1,1219,357
77,1,1219,357
78,1,1219,357
79,1,1219,357
80,1,1219,357
81,1,1219,357
82,1,1219,357
83,1,1219,357
84,1,1219,357
85,1,1219,357
86,1,1219,357
87,1,1219,357
88,1,1219,357
89,1,1219,357
90,1,1219,357
91,1,1219,357
92,1,1219,357
93,1,1219,357
94,1,1219,357
95,1,1219,357
96,1,1231,502
97,1,1248,576
98,1,1233,622
99,1,1223,731
100,1,1208,786
101,1,1201,832
102,1,1199,871
103,1,1206,894
104,1,1206,907
105,1,1210,909
106,1,1215,915
107,1,1215,915
108,1,1215,915
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
