Frame,Visibility,X,Y
0,1,1203,407
1,1,1213,388
2,1,1216,376
3,1,1219,368
4,1,1218,362
5,1,1219,359
6,1,1219,357
7,1,1220,356
8,1,1220,355
9,1,1222,354
10,1,1221,354
11,1,1219,355
12,1,1219,358
13,1,1218,361
14,1,1217,365
15,1,1219,357
16,1,1219,357
17,1,1219,357
18,1,1219,357
19,1,1219,357
20,1,1219,357
21,1,1219,357
22,1,1219,357
23,1,1219,357
24,1,1219,357
25,1,1219,357
26,1,1219,357
27,1,1219,357
28,1,1219,357
29,1,1219,357
30,1,1219,357
31,1,1219,357
32,1,1219,357
33,1,1219,357
34,1,1219,357
35,1,1219,357
36,1,1219,357
37,1,1219,357
38,1,1219,357
39,1,1219,357
40,1,1219,357
41,1,1219,357
42,1,1219,357
43,1,1219,357
44,1,1219,357
45,1,1219,357
46,1,1219,357
47,1,1219,357
48,1,1219,357
49,1,1228,420
50,1,1224,443
51,1,1212,503
52,1,1164,601
53,1,1175,663
54,1,1181,690
55,1,1164,669
56,1,1166,621
57,1,1169,600
58,1,1170,570
59,1,1165,530
60,1,1170,480
61,1,1170,470
62,1,1170,460
63,1,1175,454
64,1,1175,450
65,1,1180,450
66,1,1180,450
67,1,1185,450
68,1,1185,454
69,1,1185,460
70,1,1190,460
71,1,1190,470
72,1,1190,474
73,1,1190,485
74,1,1195,495
75,1,1195,505
76,1,1195,519
77,1,1660,505
78,1,1200,544
79,1,1200,544
80,1,1655,505
81,1,1205,510
82,1,1655,505
83,1,1650,505
84,1,1650,499
85,1,1645,499
86,1,1645,499
87,1,1300,450
88,1,1640,495
89,1,1640,495
90,1,1300,429
91,1,1295,420
92,1,1290,409
93,1,1290,409
94,1,1290,405
95,1,1285,400
96,1,1285,400
97,1,1290,395
98,1,1292,394
99,1,1292,391
100,1,1288,393
101,1,1280,395
102,1,1278,396
103,1,1275,400
104,1,1275,400
105,1,1270,400
106,1,1270,405
107,1,1270,409
108,1,1265,415
109,1,1265,420
110,1,1260,425
111,1,1260,435
112,1,1260,439
113,1,1255,450
114,1,1250,460
115,1,1250,465
116,1,1250,480
117,1,1245,499
118,1,1240,510
119,1,1240,535
120,1,1235,564
121,1,1235,570
122,1,1235,560
123,1,1240,550
124,1,1240,550
125,1,1240,544
126,1,1245,544
127,1,1245,540
128,1,1245,540
129,1,1250,544
130,1,1250,550
131,1,1250,550
132,1,1255,560
133,1,1255,570
134,1,1255,574
135,1,1260,580
136,1,1260,580
137,1,1260,580
138,1,1260,580
139,1,1265,580
140,1,1265,580
141,1,1265,585
142,1,1265,589
143,1,1265,589
144,1,1270,589
145,1,1270,589
146,1,1270,595
147,1,1270,599
148,1,1270,599
149,1,1275,599
150,1,1275,599
151,1,1275,599
152,1,1275,605
153,1,1280,605
154,1,1280,609
155,1,1280,609
156,1,1280,609
157,1,1280,609
158,1,1285,609
159,1,1285,609
160,1,1285,615
161,1,1285,615
162,1,1290,615
163,1,1290,615
164,1,1290,615
165,1,1290,615
166,1,1290,620
167,1,1295,620
168,1,1295,620
169,1,1295,620
170,1,1295,620
171,1,1295,620
172,1,1295,620
173,1,1295,625
174,1,1295,625
175,1,1300,625
176,1,1300,625
177,1,1300,625
178,1,1300,630
179,1,1300,630
180,1,1300,630
181,1,1300,630
182,1,1300,630
183,1,1300,630
184,1,1305,630
185,1,1305,630
186,1,1305,630
187,1,1305,630
188,1,1305,630
189,1,1310,630
190,1,1305,634
191,1,1298,634
192,1,1292,632
193,1,1292,623
194,1,1290,605
195,1,1286,586
196,1,1281,545
197,1,1262,494
198,1,1265,446
199,1,1233,389
200,1,1219,357
201,1,1219,357
202,1,1219,357
203,1,1219,357
204,1,1307,366
205,1,1408,372
206,1,1545,383
207,1,1593,444
208,1,1637,450
209,1,1673,475
210,1,1683,497
211,1,1707,496
212,1,1718,504
213,1,1730,499
214,1,1730,505
215,1,1730,505
216,1,1730,505
217,1,1730,505
218,1,1730,505
219,1,1710,502
220,1,1686,503
221,1,1648,479
222,1,1600,508
223,1,1562,528
224,1,1498,503
225,1,1451,475
226,1,1497,451
227,1,1483,396
228,1,1554,387
229,1,1610,466
230,1,1659,466
231,1,1692,493
232,1,1700,512
233,1,1723,507
234,1,1730,515
235,1,1740,510
236,1,1735,510
237,1,1735,510
238,1,1735,510
239,1,1735,515
240,1,1735,515
241,1,1730,515
242,1,1730,515
243,1,1730,515
244,1,1730,515
245,1,1730,515
246,1,1709,511
247,1,1686,513
248,1,1648,489
249,1,1601,516
250,1,1588,568
251,1,1532,574
252,1,1487,591
253,1,1456,610
254,1,1357,588
255,1,1321,590
256,1,1329,593
257,1,1329,592
258,1,1331,583
259,1,1340,580
260,1,1340,574
261,1,1340,570
262,1,1345,564
263,1,1345,564
264,1,1345,560
265,1,1345,560
266,1,1345,554
267,1,1345,555
268,1,1350,554
269,1,1350,554
270,1,1350,554
271,1,1350,550
272,1,1350,550
273,1,1350,550
