Frame,Visibility,X,Y
0,1,1150,932
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,1,1125,444
71,1,1120,438
72,1,1130,405
73,1,1130,405
74,1,1135,405
75,1,1140,376
76,1,1140,372
77,1,1150,355
78,1,1150,350
79,1,1155,350
80,1,1160,332
81,1,1160,332
82,1,1165,322
83,1,1170,322
84,1,1170,316
85,1,1175,311
86,1,1180,304
87,1,1185,304
88,1,1190,304
89,1,1190,304
90,1,1195,304
91,1,1195,311
92,1,1195,311
93,1,1200,311
94,1,1205,316
95,1,1210,322
96,1,1210,322
97,1,1210,322
98,1,1210,338
99,1,1210,338
100,1,1215,355
101,1,1215,355
102,1,1215,355
103,1,1220,372
104,1,1220,372
105,1,1225,394
106,1,1225,388
107,1,1225,394
108,1,1230,422
109,1,1231,441
110,1,1238,454
111,1,1252,472
112,1,1257,482
113,1,1254,487
114,1,1257,457
115,1,1240,412
116,1,1215,419
117,1,1220,397
118,1,1219,397
119,1,1219,397
120,1,1219,397
121,1,1229,434
122,1,1223,445
123,1,1198,485
124,1,1176,545
125,1,1198,537
126,1,1231,523
127,1,1199,514
128,1,1188,501
129,1,1187,485
130,1,1180,471
131,1,1175,455
132,1,1170,455
133,1,1165,450
134,1,1155,444
135,1,1155,438
136,1,1145,432
137,1,1140,432
138,1,1140,432
139,1,1130,422
140,1,1130,422
141,1,1120,422
142,1,1120,422
143,1,1115,422
144,1,1105,422
145,1,1105,422
146,1,1100,422
147,1,1095,426
148,1,1095,426
149,1,1089,435
150,1,1088,435
151,1,1097,441
152,1,1129,444
153,1,1148,446
154,1,1157,448
155,1,1158,416
156,1,1165,429
157,1,1207,409
158,1,1219,397
159,1,1219,397
160,1,1219,397
161,1,1219,397
162,1,1219,397
163,1,1204,405
164,1,1142,426
165,1,1091,422
166,1,1058,415
167,1,1015,419
168,1,1011,410
169,1,994,398
170,1,985,391
171,1,980,389
172,1,975,382
173,1,970,382
174,1,970,382
175,1,965,382
176,1,955,376
177,1,950,376
178,1,945,376
179,1,945,376
180,1,935,376
181,1,935,376
182,1,925,382
183,1,925,382
184,1,925,388
185,1,915,394
186,1,915,394
187,1,905,405
188,1,905,405
189,1,900,405
190,1,890,415
191,1,890,422
192,1,880,432
193,1,880,432
194,1,880,438
195,1,870,455
196,1,860,476
197,1,860,476
198,1,855,476
199,1,850,488
200,1,845,488
201,1,840,488
202,1,840,482
203,1,830,482
204,1,825,482
205,1,820,482
206,1,820,482
207,1,820,482
208,1,810,482
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
